Cargo,Local,Empresa,Descrição,Rating
CIENTISTA DE DADOS SR,"Home office in Barueri, SP",C&A,"
Extração de Base de dados via SQL;
Construção de relatórios em Power BI e Excel;
Dialogar com outras áreas para colher resultados e colher feedbacks;
Postado há 30+ dias·","4,1"
CIENTISTA DE DADOS PL,Home office,Conta Simples,"
Nosso time é focado em desenvolver uma ferramenta cada vez melhor e mais segura para nossos clientes, traz para o dia a dia o espírito de agilidade e inovação.
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS - DATA LAKE,"São Paulo, SP",FCamara,"
Experiência em coleta, agregações, data cleaning/cleansing e ingestão de dados com grandes volumes ou grande taxa de entrega.
Conhecimento em AWS e Azure.
Postado há 20 dias·","3,8"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Favo Brasil,"
Visualização de dados (QuickSight, Tableau, Looker, etc.);
Tudo isso, garantindo dinheiro no bolso do Empreendedor Favo, que não precisa fazer nenhum…
Postado há 30+ dias·",Sem informacao
CIENTISTA DE DADOS SÊNIOR | PRODUCT ANALYTICS | B2B,Home office,Open Co,"
Construção, implantação e monitoramento de modelos supervisionados e não supervisionados;
Graduação em Ciência da Computação, Estatística, Matemática, Física,…
Postado há 4 dias·",Sem informacao
CIENTISTA DE DADOS SENIOR (NLP),Home office,Venha para a NeuralMed,"
Experiência trabalhando como cientista de dados há no mínimo 3 anos.
Conhecimentos de técnicas de machine learning gerais, entendendo o ciclo de vida de um…
Postado há 24 dias·",Sem informacao
CIENTISTA DE DADOS,"São Paulo, SP",GrupoSC Distribuidora de Medicamentos,"
Ajudar a definir ferramentas adequadas para o ambiente;
Apresentar e defender os modelos para diversos públicos;
Postado há 20 dias·","2,3"
CIENTISTA DE DADOS,"Brasília, DF",MIRANTE TECNOLOGIA,"
Desejável conhecimento em soluções de replicação de dados;
Conhecimento em banco de dados DB2, SQL Server e desejável MPP (CP4D, Netezza, Pure Data);
Postado há 30+ dias·","3,9"
CIENTISTA DE DADOS EM DESENVOLVIMENTO COMERCIAL,"Barueri, SP",Cielo,"
Também trabalhará muito próximo da força de vendas realizando discoveries e visitas presenciais para entender as necessidades e desenvolver soluções que sejam…
Postado há 14 dias·","4,2"
CIENTISTA DE DADOS,"Home office in São Paulo, SP",Eniwine,"
Nesse desafio, sua missão será: - Atuar de forma estratégica, com autonomia, aproveitando habilidades analíticas e preditivas para gerar insights de negócios,…
Postado há 30+ dias·",Sem informacao
