Cargo,Local,Empresa,Descrição,Rating
ANALISTA DE DADOS,"São Paulo, SP",Kroton,"
Participar de projetos de alta relevância para a Kroton – Engajamento (Customer Success);
Bolsa graduação/pós-graduação nas marcas Kroton.
Postado há 9 dias·",Sem informacao
ANALISTA DE DADOS,"Belo Horizonte, MG",RHV,"
Experiência no uso e coleta de dados em sistemas ERP.
Desenvolver e manter relatórios no Power BI, definição e acompanhamento de indicadores, extração e trativa…
EmployerAtiva 6 dias atrás·",Sem informacao
ANALISTA DE DADOS (PCD),"São Paulo, SP",Itaú Unibanco,"
Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).
Descontos exclusivos em nossos produtos financeiros.
Postado há 19 dias·","4,3"
ANALISTA DE DADOS,"Home office in São Paulo, SP",Avita,"
Desenhar os processos de integração de dados considerando o uso de SQL.
Postado há 30+ dias·",Sem informacao
ANALISTA DE DADOS,"São Paulo, SP",IQVIA,"
Apoiar as principais iniciativas de negócios, trabalhando principalmente com cientistas de dados e analistas de dados funcionais;
Além disso, essa pessoa terá:
Postado há 2 dias·","3,8"
ANALISTA DE DADOS (SEGURANÇA DA RECEITA),"Home office in Santa Bárbara d'Oeste, SP",AEGEA,"
Vivência prática com base de dados SQL;
Atuar na análise de dados, através de extrações em banco de dados, PowerBI, Excel e apresentações, de forma a produzir…
Postado há 20 dias·",Sem informacao
ANALISTA DE DADOS,"Manaus, AM",Info Store,"
Desempenhar atividades no campo da estatística, como as aplicações práticas, analisar e processar dados; construir instrumentos de coleta de dados; criam banco…
Postado há 4 dias·","4,2"
ANALISTA DE DADOS PLENO (1 VAGA),Home office,Pottencial Seguradora,"
Estruturar o banco de dados (Data Warehouse) a ser utilizado pelo BI através de ferramentas de ETL, visando a correta disponibilização das informações da Cia.;
Postado há 30+ dias·","4,2"
ANALISTA DE DADOS SR.,"São Paulo, SP",Danone,"
Desenvolver projetos de Data Science envolvendo programação de algoritmos;
Postado há 4 dias·","4,2"
ANALISTA DE DADOS,"Home office in Belo Horizonte, MG",AWC Tecnologia Ltda,"
Nutrir o lead (que não fechou) para ele virar cliente;
Domínio de ferramentas como RD STATION, PIPE DRIVE, CONTA AZUL;
De segunda à sexta-feira.
EmployerAtiva 2 dias atrás·",Sem informacao
ANALISTA DE DADOS,Home office,Martins,"
Limpeza de dados (identificação, correção de informações duplicadas, inválidas ou corrompidas);
Essa vaga é para você que quer fazer parte de um time que tem…
Postado há 30+ dias·","3,5"
ANALISTA DE DADOS PLENO,Home office,Incentiv.me,"
Conhecimento intermediário em ferramentas de Business Intelligence - BI;
Postado há 11 dias·",Sem informacao
